date,min_temp_c
2024-12-01,-3.1
2024-12-02,-5.2
2024-12-03,-5.2
2024-12-04,-4.3
2024-12-05,-3.9
2024-12-06,-5.5
2024-12-07,-1.4
2024-12-08,1.4
2024-12-09,0.7
2024-12-10,3.5
2024-12-11,0.3
2024-12-12,-6.7
2024-12-13,-7.8
2024-12-14,-11.2
2024-12-15,-4.5
2024-12-16,2.9
2024-12-17,2.5
2024-12-18,0.9
2024-12-19,-1.9
2024-12-20,-3.8
2024-12-21,-9.6
2024-12-22,-16.3
2024-12-23,-12.0
2024-12-24,-1.2
2024-12-25,-5.9
2024-12-26,-7.9
2024-12-27,-2.4
2024-12-28,4.7
2024-12-29,5.5
2024-12-30,1.7
2024-12-31,0.7
2025-01-01,0.1
2025-01-02,-2.9
2025-01-03,-4.9
2025-01-04,-5.6
2025-01-05,-6.3
2025-01-06,-8.7
2025-01-07,-7.9
2025-01-08,-10.6
2025-01-09,-10.1
2025-01-10,-12.0
2025-01-11,-5.6
2025-01-12,-2.0
2025-01-13,-5.5
2025-01-14,-8.7
2025-01-15,-7.2
2025-01-16,-9.4
2025-01-17,-1.8
2025-01-18,-4.3
2025-01-19,-8.7
2025-01-20,-12.1
2025-01-21,-14.0
2025-01-22,-17.6
2025-01-23,-11.6
2025-01-24,-7.8
2025-01-25,-11.1
2025-01-26,-3.1
2025-01-27,-4.1
2025-01-28,-7.3
2025-01-29,-6.8
2025-01-30,-8.2
2025-01-31,-0.8
2025-02-01,-14.3
2025-02-02,-14.6
2025-02-03,-0.2
2025-02-04,-6.8
2025-02-05,-9.5
2025-02-06,-6.7
2025-02-07,-6.8
2025-02-08,-10.3
2025-02-09,-5.2
2025-02-10,-7.0
2025-02-11,-8.2
2025-02-12,-9.9
2025-02-13,-4.6
2025-02-14,-7.7
2025-02-15,-7.0
2025-02-16,-5.9
2025-02-17,-10.7
2025-02-18,-12.2
2025-02-19,-10.6
2025-02-20,-10.1
2025-02-21,-9.3
2025-02-22,-6.7
2025-02-23,-2.8
2025-02-24,-2.6
2025-02-25,0.3
2025-02-26,-1.4
2025-02-27,0.9
2025-02-28,-3.0
